Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Co-applicant_Income,Loan_Amount,Term,Credit_History,Property_Area,Status
LP10000,Male,No,1,Not Graduate,No,1753,3785,136,360,1,Semiurban,Y
LP10001,Male,No,2,Graduate,No,1239,1538,73,360,1,Semiurban,Y
LP10002,Male,Yes,0,Graduate,No,994,0,23,360,1,Urban,Y
LP10003,Male,Yes,2,Graduate,No,6018,0,194,360,1,Semiurban,Y
LP10004,Male,No,1,Graduate,No,13674,4401,706,360,1,Urban,Y
LP10005,Male,No,0,Not Graduate,No,7703,0,250,360,1,Rural,Y
LP10006,Male,Yes,2,Graduate,No,4254,0,167,360,1,Rural,Y
LP10007,Male,Yes,2,Graduate,No,3835,4834,328,360,0,Semiurban,N
LP10008,Female,Yes,2,Graduate,No,4052,2096,128,360,0,Urban,N
LP10009,Male,Yes,0,Graduate,No,5980,3448,325,360,1,Rural,Y
LP10010,Female,Yes,2,Graduate,No,4788,1842,170,360,1,Rural,Y
LP10011,Female,Yes,0,Graduate,No,4709,4937,258,360,1,Rural,Y
LP10012,Male,No,0,Graduate,No,3707,0,75,360,1,Semiurban,Y
LP10013,Male,Yes,0,Graduate,No,3814,1550,110,480,1,Rural,Y
LP10014,Male,Yes,3+,Graduate,No,2297,0,70,360,1,Semiurban,Y
LP10015,Male,Yes,3+,Graduate,No,2302,1100,104,360,1,Rural,Y
LP10016,Male,Yes,3+,Graduate,No,2985,2704,142,360,1,Semiurban,Y
LP10017,Male,No,3+,Not Graduate,Yes,1955,0,77,360,1,Urban,Y
LP10018,Female,Yes,0,Graduate,No,5235,2449,269,360,1,Rural,Y
LP10019,Male,Yes,0,Graduate,No,2689,2081,156,480,0,Rural,N
LP10020,Male,No,0,Graduate,No,2705,1013,103,360,1,Rural,Y
LP10021,Female,Yes,2,Graduate,No,11144,0,363,360,1,Semiurban,Y
LP10022,Male,Yes,3+,Graduate,No,7775,0,178,360,1,Semiurban,Y
LP10023,Male,No,0,Graduate,No,5572,0,117,360,1,Rural,Y
LP10024,Male,No,2,Graduate,No,5998,0,235,180,1,Urban,Y
